"Name of grant recipient","Known as","Funding area/Panel","Grant category","Amount funded","Decision date","Closing date","State","Country","Federal electorate"
"Intimate Spectacle Pty Ltd","","Multi-Artform","Strategic International Market Fund","$13,318.00","31-MAY-2018","12-JUN-2018","NSW","AUSTRALIA","SYDNEY"
"Leiser-Moore, Deborah","","Multi-Artform","Strategic International Market Fund","$9,690.00","31-MAY-2018","12-JUN-2018","VIC","AUSTRALIA","MELBOURNE PORTS"
"Patch Theatre Company Inc","","Multi-Artform","Strategic International Market Fund","$18,964.00","31-MAY-2018","12-JUN-2018","SA","AUSTRALIA","ADELAIDE"
"Shaun Parker & Company Ltd","","Multi-Artform","Strategic International Market Fund","$30,000.00","31-MAY-2018","12-JUN-2018","NSW","AUSTRALIA","SYDNEY"
"Batchelor, James","","Multi-Artform","Tanzmesse","$3,000.00","31-MAY-2018","24-APR-2018","VIC","AUSTRALIA","MELBOURNE"
"Lang, Prue","","Multi-Artform","Tanzmesse","$3,000.00","31-MAY-2018","24-APR-2018","VIC","AUSTRALIA","MELBOURNE PORTS"
"Shaun Parker & Company Ltd","","Multi-Artform","Tanzmesse","$3,000.00","31-MAY-2018","24-APR-2018","NSW","AUSTRALIA","SYDNEY"
"Supercell: Festival of Contemporary Dance Brisbane","","Multi-Artform","Tanzmesse","$3,000.00","31-MAY-2018","24-APR-2018","QLD","AUSTRALIA","MORETON"
"Waterson, Freya","","Multi-Artform","Tanzmesse","$3,000.00","31-MAY-2018","24-APR-2018","VIC","AUSTRALIA","MELBOURNE"
"Evans, Sandy","","Multi-Artform","PPCA - Australia Council Partnership","$15,000.00","31-MAY-2018","07-MAR-2018","NSW","AUSTRALIA","WARRINGAH"
"Lynn, Alexandra","","Multi-Artform","PPCA - Australia Council Partnership","$15,000.00","31-MAY-2018","07-MAR-2018","NSW","AUSTRALIA","SYDNEY"
"Marshall, Justin","","Multi-Artform","PPCA - Australia Council Partnership","$15,000.00","31-MAY-2018","07-MAR-2018","VIC","AUSTRALIA","BENDIGO"
"Okenyo, Zindzi","","Multi-Artform","PPCA - Australia Council Partnership","$15,000.00","31-MAY-2018","07-MAR-2018","NSW","AUSTRALIA","SYDNEY"
"Skipworth, Lachlan","","Multi-Artform","PPCA - Australia Council Partnership","$15,000.00","31-MAY-2018","07-MAR-2018","WA","AUSTRALIA","PERTH"
"Oldfield, Benython","","Multi-Artform","New York Publishers' Program","$2,000.00","24-MAY-2018","23-JAN-2018","NSW","AUSTRALIA","GRAYNDLER"
"Australian Art Orchestra Ltd","Australian Art Orchestra","Multi-Artform","Strategic International Market Fund","$18,322.00","02-MAY-2018","12-JUN-2018","VIC","AUSTRALIA","MELBOURNE"
"Flynn, Madeleine","","Multi-Artform","Strategic International Market Fund","$10,000.00","02-MAY-2018","12-JUN-2018","VIC","AUSTRALIA","BATMAN"
"Kokkinos-Kennedy, Katerina","","Multi-Artform","Strategic International Market Fund","$30,000.00","02-MAY-2018","12-JUN-2018","VIC","AUSTRALIA","MELBOURNE"
"Noble, Fleur","","Multi-Artform","Strategic International Market Fund","$17,472.00","02-MAY-2018","12-JUN-2018","SA","AUSTRALIA","MAYO"
"Stephanie Lake Company","","Multi-Artform","Strategic International Market Fund","$30,000.00","02-MAY-2018","12-JUN-2018","VIC","AUSTRALIA","WILLS"
"walker, henry","","Multi-Artform","Strategic International Market Fund","$20,600.00","02-MAY-2018","12-JUN-2018","SA","AUSTRALIA","KINGSTON"
"Aboriginal Comedy Allstars","","Aboriginal and Torres Strait Islander Arts","Arts Projects For Individuals and Groups","$24,821.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MELBOURNE"
"Kamarin Mitakiki project","","Aboriginal and Torres Strait Islander Arts","Arts Projects For Individuals and Groups","$15,000.00","24-APR-2018","06-FEB-2018","SA","AUSTRALIA","GREY"
"Lloyd, Jessie","","Aboriginal and Torres Strait Islander Arts","Arts Projects For Individuals and Groups","$17,000.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MARIBYRNONG"
"Sansbury, Taree","","Aboriginal and Torres Strait Islander Arts","Arts Projects For Individuals and Groups","$10,500.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","BRADFIELD"
"Three Rivers Festival","","Aboriginal and Torres Strait Islander Arts","Arts Projects For Individuals and Groups","$28,050.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MURRAY"
"Broome Aboriginal Media Association Aboriginal Corporation","","Aboriginal and Torres Strait Islander Arts","Arts Projects Organisations","$41,548.00","24-APR-2018","06-FEB-2018","WA","AUSTRALIA","DURACK"
"First Hand Solutions Aboriginal Corporation","","Aboriginal and Torres Strait Islander Arts","Arts Projects Organisations","$99,500.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","KINGSFORD SMITH"
"First Nations Australia Writers Network","FNAWN","Aboriginal and Torres Strait Islander Arts","Arts Projects Organisations","$98,000.00","24-APR-2018","06-FEB-2018","ACT","AUSTRALIA","FENNER"
"Hopevale Community Learning Centre Aboriginal Corporation","","Aboriginal and Torres Strait Islander Arts","Arts Projects Organisations","$65,568.00","24-APR-2018","06-FEB-2018","QLD","AUSTRALIA","LEICHHARDT"
"Northern Peninsula Area Regional Council","","Aboriginal and Torres Strait Islander Arts","Arts Projects Organisations","$80,000.00","24-APR-2018","06-FEB-2018","QLD","AUSTRALIA","LEICHHARDT"
"Thaiday, Caleb","","Aboriginal and Torres Strait Islander Arts","Development Grants Individuals and Groups","$24,723.00","24-APR-2018","06-FEB-2018","QLD","AUSTRALIA","LEICHHARDT"
"Turner-Young, Terazita Rose","","Aboriginal and Torres Strait Islander Arts","Development Grants Individuals and Groups","$12,925.00","24-APR-2018","06-FEB-2018","NT","AUSTRALIA","LINGIARI"
"Armstrong, Keith","","Emerging and Experimental Arts","Arts Projects For Individuals and Groups","$42,600.00","24-APR-2018","06-FEB-2018","QLD","AUSTRALIA","BRISBANE"
"Donovan, Adam","","Emerging and Experimental Arts","Arts Projects For Individuals and Groups","$46,350.00","24-APR-2018","06-FEB-2018","VIENNA","AUSTRIA",""
"Kelly, Alex","","Emerging and Experimental Arts","Arts Projects For Individuals and Groups","$49,887.00","24-APR-2018","06-FEB-2018","NT","AUSTRALIA","LINGIARI"
"Rewald, Andrew","Andy","Emerging and Experimental Arts","Arts Projects For Individuals and Groups","$14,500.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","JAGAJAGA"
"Sonja Hornung project","","Emerging and Experimental Arts","Arts Projects For Individuals and Groups","$49,100.00","24-APR-2018","06-FEB-2018","","GERMANY",""
"Mosman Art Gallery","","Emerging and Experimental Arts","Arts Projects Organisations","$28,000.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","WARRINGAH"
"The WIRED Lab","","Emerging and Experimental Arts","Arts Projects Organisations","$100,000.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","RIVERINA"
"Belcher-Fitzpatrick, Bronwyn","Bron Belcher","Emerging and Experimental Arts","Development Grants Individuals and Groups","$14,780.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","WILLS"
"Gleave, Michaela","","Emerging and Experimental Arts","Development Grants Individuals and Groups","$9,608.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","SYDNEY"
"Greenaway, Lisa","","Emerging and Experimental Arts","Development Grants Individuals and Groups","$25,000.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","JAGAJAGA"
"Walton, Glen","","Emerging and Experimental Arts","Development Grants Individuals and Groups","$10,761.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","BATMAN"
"Berry, Vanessa","","Literature","Arts Projects For Individuals and Groups","$41,835.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","GRAYNDLER"
"Blackadder, Jesse","","Literature","Arts Projects For Individuals and Groups","$15,000.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","RICHMOND"
"Coleman, Claire","Claire G. Coleman","Literature","Arts Projects For Individuals and Groups","$21,500.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MENZIES"
"Connolly, Robert","Bob Connolly","Literature","Arts Projects For Individuals and Groups","$25,000.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","SYDNEY"
"Elvery, Laura","","Literature","Arts Projects For Individuals and Groups","$35,614.00","24-APR-2018","06-FEB-2018","QLD","AUSTRALIA","GRIFFITH"
"Farrell, Michael","","Literature","Arts Projects For Individuals and Groups","$40,000.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MELBOURNE"
"Ford, Adam","","Literature","Arts Projects For Individuals and Groups","$10,800.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","BENDIGO"
"Giovannoni, Dan","","Literature","Arts Projects For Individuals and Groups","$17,500.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","WILLS"
"Gordon, Kate","","Literature","Arts Projects For Individuals and Groups","$13,000.00","24-APR-2018","06-FEB-2018","TAS","AUSTRALIA","DENISON"
"Gusher","","Literature","Arts Projects For Individuals and Groups","$11,719.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","SYDNEY"
"Harkins-Cross, Rebecca","","Literature","Arts Projects For Individuals and Groups","$35,240.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","WILLS"
"Henry-Jones, Eliza-Jane","","Literature","Arts Projects For Individuals and Groups","$12,653.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","CASEY"
"Ibrahim, Samya","Hella","Literature","Arts Projects For Individuals and Groups","$24,125.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","SCULLIN"
"June WINCH, Tara","","Literature","Arts Projects For Individuals and Groups","$11,000.00","24-APR-2018","06-FEB-2018","LOIRE-ATLANTIQUE","FRANCE",""
"Middleton, Kate","","Literature","Arts Projects For Individuals and Groups","$40,000.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","GRAYNDLER"
"Peres da Costa, Suneeta","","Literature","Arts Projects For Individuals and Groups","$21,000.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","SYDNEY"
"Preston, Edwina","","Literature","Arts Projects For Individuals and Groups","$15,000.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MELBOURNE"
"Stanton, Mirandi","Mirandi Riwoe","Literature","Arts Projects For Individuals and Groups","$38,500.00","24-APR-2018","06-FEB-2018","QLD","AUSTRALIA","GRIFFITH"
"The Garret Podcast: Astrid Edwards","","Literature","Arts Projects For Individuals and Groups","$16,150.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MELBOURNE"
"Australian Poetry Limited","","Literature","Arts Projects Organisations","$40,000.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MELBOURNE"
"Kill Your Darlings Pty Ltd","","Literature","Arts Projects Organisations","$36,000.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","GELLIBRAND"
"Mascara Poetry Incorporated","Mascara Literary Review","Literature","Arts Projects Organisations","$42,580.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","BRADFIELD"
"Playlab","","Literature","Arts Projects Organisations","$22,640.00","24-APR-2018","06-FEB-2018","QLD","AUSTRALIA","BRISBANE"
"Queensland Poetry Festival Inc","Queensland Poetry Festival","Literature","Arts Projects Organisations","$30,000.00","24-APR-2018","06-FEB-2018","QLD","AUSTRALIA","GRIFFITH"
"Story Box Library","","Literature","Arts Projects Organisations","$47,500.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","BENDIGO"
"The English Association Sydney Inc","Southerly Magazine","Literature","Arts Projects Organisations","$43,800.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","SYDNEY"
"Bancks, Tristan","","Literature","Development Grants Individuals and Groups","$10,000.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","RICHMOND"
"Giggs, Rebecca","","Literature","Development Grants Individuals and Groups","$10,000.00","24-APR-2018","06-FEB-2018","WA","AUSTRALIA","CURTIN"
"Kadiki, Walter","","Literature","Development Grants Individuals and Groups","$12,400.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","ISAACS"
"Prescott, Shaun","","Literature","Development Grants Individuals and Groups","$10,917.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","MACQUARIE"
"Scale Free Network","","Literature","Development Grants Individuals and Groups","$9,019.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MELBOURNE"
"Tonelli, Evelyne","Eve Tonelli","Literature","Development Grants Individuals and Groups","$9,720.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","GRAYNDLER"
"Viskic, Emma","","Literature","Development Grants Individuals and Groups","$5,075.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","BATMAN"
"Young, Damon","","Literature","Development Grants Individuals and Groups","$5,050.00","24-APR-2018","06-FEB-2018","TAS","AUSTRALIA","DENISON"
"Conrow, Marion","Red Shed","Multi-Artform","Arts Projects For Individuals and Groups","$21,881.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","PAGE"
"Justin Marshall and Aviva Endean","","Multi-Artform","Arts Projects For Individuals and Groups","$21,200.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","WILLS"
"MOMO DOTO","","Multi-Artform","Arts Projects For Individuals and Groups","$29,487.00","24-APR-2018","06-FEB-2018","QLD","AUSTRALIA","LILLEY"
"Particle/Wave","","Multi-Artform","Arts Projects For Individuals and Groups","$15,000.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","HIGGINS"
"Richard Cilli & Claire Edwardes","","Multi-Artform","Arts Projects For Individuals and Groups","$29,718.00","24-APR-2018","06-FEB-2018","WA","AUSTRALIA","STIRLING"
"Strachan, Sara","","Multi-Artform","Arts Projects For Individuals and Groups","$50,000.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","BATMAN"
"Adelaide International Film Festival t/a Adelaide Film Festival","Adelaide Film Festival","Multi-Artform","Arts Projects Organisations","$41,000.00","24-APR-2018","06-FEB-2018","SA","AUSTRALIA","STURT"
"Brisbane Community Arts Centre Ltd","Metro Arts","Multi-Artform","Arts Projects Organisations","$49,745.00","24-APR-2018","06-FEB-2018","QLD","AUSTRALIA","BRISBANE"
"Diversity Arts Australia (DARTS)","Diversity Arts Australia","Multi-Artform","Arts Projects Organisations","$92,800.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","PARRAMATTA"
"Midsumma Festival Inc","","Multi-Artform","Arts Projects Organisations","$97,338.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MELBOURNE"
"Regional Arts Victoria","","Multi-Artform","Arts Projects Organisations","$90,000.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MELBOURNE"
"Helper, Roslyn","","Multi-Artform","Development Grants Individuals and Groups","$7,500.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","KINGSFORD SMITH"
"Kind, Mimi","","Multi-Artform","Development Grants Individuals and Groups","$8,378.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","GRAYNDLER"
"Walsh, Melanie Jame","Melanie Jame Wolf","Multi-Artform","Development Grants Individuals and Groups","$12,180.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","BATMAN"
"Ari, Rebecca","Ecca Vandal","Music","Arts Projects For Individuals and Groups","$28,200.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","GELLIBRAND"
"Avenaim, Robbie","","Music","Arts Projects For Individuals and Groups","$20,000.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","WILLS"
"B2M","","Music","Arts Projects For Individuals and Groups","$39,000.00","24-APR-2018","06-FEB-2018","NT","AUSTRALIA","SOLOMON"
"BASHKA","","Music","Arts Projects For Individuals and Groups","$19,566.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MELBOURNE"
"Billings, Amy","Amy Shark","Music","Arts Projects For Individuals and Groups","$46,454.00","24-APR-2018","06-FEB-2018","QLD","AUSTRALIA","MONCRIEFF"
"Chan, Lyle","","Music","Arts Projects For Individuals and Groups","$50,000.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","SYDNEY"
"Clocked Out Plus","","Music","Arts Projects For Individuals and Groups","$22,000.00","24-APR-2018","06-FEB-2018","QLD","AUSTRALIA","GRIFFITH"
"Cullen, Heath","","Music","Arts Projects For Individuals and Groups","$20,000.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","EDEN-MONARO"
"Englert, Laura","Laura Jean","Music","Arts Projects For Individuals and Groups","$10,000.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","BATMAN"
"Flanagan, Leah","","Music","Arts Projects For Individuals and Groups","$25,370.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","GRAYNDLER"
"Ford, Andrew","","Music","Arts Projects For Individuals and Groups","$19,250.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","WHITLAM"
"Gang of Youths","","Music","Arts Projects For Individuals and Groups","$50,000.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","SYDNEY"
"Hoyt, Elizabeth","Elly","Music","Arts Projects For Individuals and Groups","$10,525.00","24-APR-2018","06-FEB-2018","QLD","AUSTRALIA","RYAN"
"Jarrett, Tasman","Tasman Keith","Music","Arts Projects For Individuals and Groups","$10,300.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","COWPER"
"Jones, Imogen","Lupa J","Music","Arts Projects For Individuals and Groups","$19,430.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","BRADFIELD"
"Latham, Christopher","Chris Latham","Music","Arts Projects For Individuals and Groups","$30,000.00","24-APR-2018","06-FEB-2018","ACT","AUSTRALIA","FENNER"
"Leha, David","","Music","Arts Projects For Individuals and Groups","$50,000.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","NEWCASTLE"
"Luebbers, Johannes","","Music","Arts Projects For Individuals and Groups","$16,000.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MARIBYRNONG"
"Ma, Joel","Joelistics","Music","Arts Projects For Individuals and Groups","$19,466.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","WILLS"
"McDermott, Paul","Paul Mac","Music","Arts Projects For Individuals and Groups","$15,900.00","24-APR-2018","06-FEB-2018","NSW","AUSTRALIA","SYDNEY"
"McHenry, Ross","","Music","Arts Projects For Individuals and Groups","$21,870.00","24-APR-2018","06-FEB-2018","SA","AUSTRALIA","PORT ADELAIDE"
"Paul Grabowsky - Gravity Project","","Music","Arts Projects For Individuals and Groups","$28,583.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","CHISHOLM"
"Petersen, Stacie","","Music","Arts Projects For Individuals and Groups","$18,410.00","24-APR-2018","06-FEB-2018","QLD","AUSTRALIA","WRIGHT"
"RVG","","Music","Arts Projects For Individuals and Groups","$34,295.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","BATMAN"
"Schack-Arnott, Matthias","","Music","Arts Projects For Individuals and Groups","$23,700.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","BATMAN"
"Small Island Big Song","","Music","Arts Projects For Individuals and Groups","$16,319.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","DUNKLEY"
"Smith, Audrey","Wilma","Music","Arts Projects For Individuals and Groups","$17,500.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","HIGGINS"
"The LDD","","Music","Arts Projects For Individuals and Groups","$14,490.00","24-APR-2018","06-FEB-2018","","CANADA",""
"Thorne, Lucienne","","Music","Arts Projects For Individuals and Groups","$20,000.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","BATMAN"
"Wang, Meng","Mindy Meng Wang","Music","Arts Projects For Individuals and Groups","$21,290.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MELBOURNE"
"Wearne, Nigel","Nigel","Music","Arts Projects For Individuals and Groups","$23,084.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","WANNON"
"Wolski, Karin","Karin Page","Music","Arts Projects For Individuals and Groups","$19,327.00","24-APR-2018","06-FEB-2018","WA","AUSTRALIA","COWAN"
"Australian Independent Record Labels Association Ltd","previously known as Association of Independent Record Labels Ltd","Music","Arts Projects Organisations","$10,000.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MELBOURNE"
"ELISION Incorporated","","Music","Arts Projects Organisations","$56,256.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","HIGGINS"
"Flinders Quartet","","Music","Arts Projects Organisations","$23,000.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MELBOURNE"
"Melbourne Electronic Sound Studio LTD","","Music","Arts Projects Organisations","$75,000.00","24-APR-2018","06-FEB-2018","VIC","AUSTRALIA","MELBOURNE"
"Skinnyfish Music","","Music","Arts Projects Organisations","$50,000.00","24-APR-2018","06-FEB-2018","NT","AUSTRALIA","SOLOMON"
"Southern Cross Soloists Music Ltd","","Music","Arts Projects Organisations","$36,040.00","24-APR-2018","06-FEB-2018","QLD","AUSTRALIA","GRIFFITH"
